"","Background characteristic","Any method","Any modern method","Any modern temporary method","Pill","IUD","Injection","Condom","Female sterilization","Male sterilization","Any trad. method","Periodic abstinence","Withdrawal","Other methods","Not using any method","Total percent","Number of women"
"1","Residence",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Urban","51.0","45.3","11.7","1.9","3.9","<0.05","5.8","30.4","3.2","5.8","3.5","2.1","0.2","49.0","100.0","22077"
"3","Rural","36.9","33.1","3.4","0.9","1.2","<0.05","1.2","26.3","3.5","3.8","2.3","1.2","0.2","63.1","100.0","62601"
"4","Education",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Illiterate","33.9","31.5","2.1","0.6","0.6","<0.05","0.8","25.7","3.7","2.4","1.6","0.6","0.2","66.1","100.0","53045"
"6","Literate_less_than_middle","50.4","44.8","6.1","1.7","2.2","<0.05","2.2","35.1","3.7","5.5","3.2","2.1","0.2","49.6","100.0","15476"
"7","Middle_school_complete","50.8","42.4","9.5","2.3","3.3","<0.05","3.8","30.1","2.8","8.5","4.9","3.4","0.1","49.2","100.0","6280"
"8","High_school_and_above","54.7","45.0","20.9","2.8","7.3","<0.05","10.7","22.0","2.1","9.7","5.9","3.4","0.3","45.3","100.0","9879"
"9","Religion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Hindu","41.6","37.7","5.1","1.0","1.7","<0.05","2.2","29.0","3.7","3.9","2.4","1.3","0.2","58.4","100.0","69635"
"11","Muslim","27.7","22.0","6.1","1.9","1.7","<0.05","2.4","14.4","1.6","5.7","3.7","1.6","0.4","72.3","100.0","10082"
"12","Christian","48.3","40.3","6.5","1.2","2.5","<0.05","2.8","30.2","3.6","8.0","5.2","2.2","0.6","51.7","100.0","1960"
"13","Sikh","57.6","50.0","17.0","2.5","6.4","<0.05","8.1","30.3","2.6","7.6","4.2","3.3","<0.05","42.4","100.0","1606"
"14","Jain","62.6","58.3","22.3","2.1","7.9","<0.05","12.3","34.3","1.7","4.2","3.3","0.9","<0.05","37.4","100.0","418"
"15","Buddhist","50.4","47.9","5.7","1.9","2.8","<0.05","1.0","30.3","11.9","2.5","1.9","0.6","<0.05","49.6","100.0","665"
"16","Other","37.4","33.3","4.2","1.0","1.4","<0.05","1.8","23.8","5.3","4.1","3.1","0.6","0.4","62.6","100.0","312"
"17","Caste/Tribe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","Scheduled_caste","34.5","31.7","2.8","0.7","0.8","<0.05","1.3","25.6","3.2","2.8","1.9","0.8","0.2","65.5","100.0","10350"
"19","Scheduled_tribe","33.0","30.8","2.0","0.7","0.5","<0.05","0.7","23.2","5.6","2.2","1.2","0.6","0.4","67.0","100.0","7422"
"20","Other","42.4","37.6","6.4","1.3","2.2","<0.05","2.8","28.0","3.2","4.7","2.9","1.6","0.2","57.6","100.0","66906"
"21","Number_sex_living_children",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","None","4.2","2.1","1.4","0.3","0.1","<0.05","1.1","0.3","0.4","2.1","1.2","0.8","<0.05","95.8","100.0","11265"
"23","1_child","19.3","12.8","8.5","1.6","3.2","<0.05","3.6","3.1","1.2","6.5","3.8","2.5","0.2","80.7","100.0","13843"
"24","1_son","20.9","14.1","9.2","1.8","3.7","0.1","3.7","3.5","1.4","6.9","4.0","2.7","0.2","79.1","100.0","7271"
"25","No_sons","17.4","11.4","7.8","1.5","2.7","<0.05","3.6","2.6","1.0","6.0","3.6","2.3","0.1","82.6","100.0","6572"
"26","2_children","46.1","40.2","9.5","1.7","3.6","<0.05","4.2","27.1","3.6","5.9","3.7","2.0","0.2","53.9","100.0","17695"
"27","2_sons","55.0","50.0","9.0","1.6","3.7","<0.05","3.6","37.0","4.0","5.1","3.1","1.9","0.1","45.0","100.0","5233"
"28","1_son","46.4","40.2","10.0","1.9","3.6","0.1","4.5","26.3","3.8","6.2","3.9","2.0","0.2","53.6","100.0","9134"
"29","No_sons","31.5","24.9","8.9","1.4","3.4","<0.05","4.1","13.4","2.5","6.6","4.2","2.3","0.2","68.5","100.0","3328"
"30","3_children","58.9","55.4","4.8","1.1","1.5","<0.05","2.1","45.3","5.3","3.5","2.2","1.1","0.2","41.1","100.0","17204"
"31","3_sons","64.9","62.4","3.1","0.9","0.8","<0.05","1.4","52.3","7.0","2.5","1.6","0.8","0.2","35.1","100.0","2342"
"32","2_sons","68.0","65.1","4.1","1.1","1.3","<0.05","1.8","54.9","6.0","2.9","1.8","1.0","0.2","32.0","100.0","7662"
"33","1_son","51.2","47.1","6.0","1.1","2.2","<0.05","2.7","36.4","4.7","4.1","2.5","1.3","0.3","48.8","100.0","5778"
"34","No_sons","31.7","25.9","6.1","2.1","1.6","<0.05","2.5","18.0","1.8","5.7","4.2","1.3","0.3","68.3","100.0","1422"
"35","4_children_and_above","52.4","49","3.4","1","1","0.1","1.3","40.9","4.6","3.4","2.1","0.9","0.4","47.6","100","24672"
"36","2_sons_and_above","53.8","50.5","3","0.9","0.8","0.1","1.2","42.8","4.7","3.3","2","0.9","0.5","46.2","100","19408"
"37","1_son","49.5","45.6","5.1","1.6","1.5","0.1","1.9","36.f","36.1","3.9","2.6","1.1","0.3","50.5","100.0","4471"
"38","No_sons","34.8","30.9","4.4","0.8","1.4","0.2","2.0","22.5","4.1","3.9","2.6","1.3","<0.05","65.2","100.0","794"
"39","Total","40.6","36.3","5.5","1.2","1.9","<0.05","2.4","27.3","3.4","4.3","2.6","1.4","0.2","59.4","100.0","84678"
